session,window_index,start_sec,expected_label,pc_label,prediction_matches,pc_prob_0,pc_prob_2,pc_prob_4,pc_prob_max,pc_prob_argmax
MMdata_1136.50s_0327_183428_2ml,184,920.0,2,2,True,0.000737204507458955,0.9959192872047424,0.00334364315494895,0.9959192872047424,2
MMdata_1136.50s_0327_183428_2ml,185,925.0,2,2,True,0.000628253270406276,0.994155764579773,0.005215940065681934,0.994155764579773,2
MMdata_1136.50s_0327_183428_2ml,186,930.0,2,2,True,0.0005908965831622481,0.9943813681602478,0.005027703009545803,0.9943813681602478,2
MMdata_1136.50s_0327_183428_2ml,187,935.0,2,2,True,0.0006635935860686004,0.9938031435012817,0.005533309653401375,0.9938031435012817,2
MMdata_1136.50s_0327_183428_2ml,188,940.0,2,2,True,0.0007318176794797182,0.9937200546264648,0.005548106972128153,0.9937200546264648,2
MMdata_1136.50s_0327_183428_2ml,189,945.0,2,2,True,0.0006114035495556891,0.993933379650116,0.005455168429762125,0.993933379650116,2
MMdata_1136.50s_0327_183428_2ml,190,950.0,2,2,True,0.0005876928335055709,0.9951614737510681,0.004250863566994667,0.9951614737510681,2
MMdata_1136.50s_0327_183428_2ml,191,955.0,2,2,True,0.0006915112608112395,0.990183413028717,0.009125110693275928,0.990183413028717,2
MMdata_1136.50s_0327_183428_2ml,192,960.0,2,2,True,0.000691354856826365,0.9966616630554199,0.0026469985023140907,0.9966616630554199,2
MMdata_1136.50s_0327_183428_2ml,193,965.0,2,2,True,0.0006355151417665184,0.9912766218185425,0.008087918162345886,0.9912766218185425,2
MMdata_1136.50s_0327_183428_2ml,194,970.0,2,2,True,0.0005969384801574051,0.9929983615875244,0.006404684856534004,0.9929983615875244,2
MMdata_1136.50s_0327_183428_2ml,195,975.0,2,2,True,0.0007006247760728002,0.989863932132721,0.009435439482331276,0.989863932132721,2
MMdata_1136.50s_0327_183428_2ml,196,980.0,2,2,True,0.000900912273209542,0.9964680671691895,0.0026310544926673174,0.9964680671691895,2
MMdata_1136.50s_0327_183428_2ml,197,985.0,2,2,True,0.0006642568623647094,0.989669144153595,0.009666631929576397,0.989669144153595,2
MMdata_1136.50s_0327_183428_2ml,198,990.0,2,2,True,0.0006044203182682395,0.9939291477203369,0.005466424860060215,0.9939291477203369,2
MMdata_1136.50s_0327_183428_2ml,199,995.0,2,2,True,0.0007253868971019983,0.9921112060546875,0.00716339610517025,0.9921112060546875,2
MMdata_1136.50s_0327_183428_2ml,200,1000.0,2,2,True,0.0009122552582994103,0.9906731247901917,0.00841460656374693,0.9906731247901917,2
MMdata_1136.50s_0327_183428_2ml,201,1005.0,2,2,True,0.0006949113449081779,0.9867239594459534,0.012581094168126583,0.9867239594459534,2
MMdata_1136.50s_0327_183428_2ml,202,1010.0,2,2,True,0.0006384420557878911,0.9913506507873535,0.008010996505618095,0.9913506507873535,2
MMdata_1136.50s_0327_183428_2ml,203,1015.0,2,2,True,0.0006815829547122121,0.9914757013320923,0.007842754013836384,0.9914757013320923,2
MMdata_1136.50s_0327_183428_2ml,204,1020.0,2,2,True,0.0009686358971521258,0.9969587326049805,0.002072651870548725,0.9969587326049805,2
MMdata_1136.50s_0327_183428_2ml,205,1025.0,2,2,True,0.0006085524219088256,0.9939549565315247,0.005436441861093044,0.9939549565315247,2
MMdata_1136.50s_0327_183428_2ml,206,1030.0,2,2,True,0.0005889481981284916,0.9959812164306641,0.003429863601922989,0.9959812164306641,2
